# SUBTLEX-US word frequencies (Brysbaert & New 2009; Zipf scale per Van Heuven et al. 2014)
# word	zipf	dominant_part_of_speech
conflict	3.94	Noun
crossing	3.94	Verb
deer	3.94	Noun
flu	3.94	Noun
objects	3.94	Noun
ohio	3.94	Name
primary	3.94	Adjective
shirts	3.94	Noun
shrimp	3.94	Noun
cemetery	3.939	Noun
balloon	3.938	Noun
samples	3.938	Noun
sexually	3.938	Adverb
excuses	3.937	Noun
fame	3.937	Noun
harmless	3.937	Adjective
stuffed	3.937	Verb
throne	3.937	Noun
tin	3.937	Noun
drain	3.936	Noun
fold	3.936	Verb
morgue	3.936	Noun
pimp	3.936	Noun
rig	3.936	Noun
setup	3.936	Noun
distant	3.935	Adjective
tan	3.935	Noun
clarence	3.934	Name
evans	3.934	Name
petty	3.934	Adjective
symbol	3.934	Noun
vicious	3.934	Adjective
beds	3.933	Noun
del	3.933	Name
sleepy	3.933	Adjective
banging	3.932	Verb
comrade	3.932	Noun
forbid	3.932	Verb
hack	3.932	Verb
increase	3.932	Verb
raid	3.932	Noun
seated	3.932	Verb
solo	3.932	Noun
tension	3.932	Noun
burst	3.931	Verb
display	3.931	Noun
eli	3.931	Name
scares	3.931	Verb
slice	3.931	Noun
threaten	3.931	Verb
butcher	3.93	Noun
gallery	3.93	Noun
invasion	3.93	Noun
wee	3.93	Adjective
laser	3.929	Noun
lunatic	3.929	Noun
rank	3.929	Noun
robe	3.929	Noun
til	3.929	Noun
woody	3.929	Name
compete	3.928	Verb
drum	3.928	Noun
ducks	3.928	Noun
fisher	3.928	Name
kiddo	3.928	Noun
limo	3.928	Noun
rolled	3.928	Verb
scar	3.928	Noun
senses	3.928	Noun
spill	3.928	Verb
spoiled	3.928	Verb
values	3.928	Noun
arnold	3.927	Name
chased	3.927	Verb
crushed	3.927	Verb
madness	3.927	Noun
nickel	3.927	Noun
adopted	3.926	Verb
betting	3.926	Verb
dizzy	3.926	Adjective
granny	3.926	Noun
software	3.926	Noun
haircut	3.925	Noun
lads	3.925	Noun
recorded	3.925	Verb
rising	3.925	Verb
thrill	3.925	Noun
approval	3.924	Noun
fry	3.924	Verb
horny	3.924	Adjective
inn	3.924	Noun
scenes	3.924	Noun
sequence	3.924	Noun
harrison	3.923	Name
alibi	3.922	Noun
ceiling	3.922	Noun
compare	3.922	Verb
judges	3.922	Noun
ribs	3.922	Noun
sympathy	3.922	Noun
wig	3.922	Noun
bare	3.921	Adjective
cabinet	3.921	Noun
cane	3.921	Noun
delta	3.921	Noun
doorbell	3.921	Noun
indicate	3.921	Verb
nearby	3.921	Adverb
pointing	3.921	Verb
formal	3.92	Adjective
jar	3.92	Noun
plague	3.92	Noun
apples	3.919	Noun
emotion	3.919	Noun
felix	3.919	Name
reminded	3.919	Verb
tore	3.919	Verb
tramp	3.919	Noun
arrival	3.918	Noun
footage	3.918	Noun
freaks	3.918	Noun
fur	3.918	Noun
infected	3.918	Verb
prior	3.918	Adjective
scores	3.918	Noun
sheila	3.918	Name
cocaine	3.917	Noun
denver	3.917	Name
depth	3.917	Noun
illusion	3.917	Noun
native	3.917	Adjective
phony	3.917	Adjective
replaced	3.917	Verb
smash	3.917	Verb
tossed	3.917	Verb
writes	3.917	Verb
brooks	3.916	Name
cape	3.916	Name
lung	3.916	Noun
visions	3.916	Noun
wished	3.916	Verb
congress	3.915	Noun
harmony	3.915	Noun
mature	3.915	Adjective
sang	3.915	Verb
shelly	3.915	Adverb
sources	3.915	Noun
sweating	3.915	Verb
yacht	3.915	Noun
canyon	3.914	Noun
genuine	3.914	Adjective
kent	3.914	Name
larger	3.914	Adjective
lori	3.914	Name
shield	3.914	Noun
sixteen	3.914	Number
strings	3.914	Noun
deeds	3.913	Noun
insisted	3.913	Verb
lan	3.913	Noun
judging	3.912	Verb
mick	3.912	Name
trains	3.912	Noun
doomed	3.911	Verb
minimum	3.911	Noun
pad	3.911	Noun
presume	3.911	Verb
alpha	3.91	Noun
courtesy	3.91	Noun
eastern	3.91	Adjective
fletcher	3.91	Name
julius	3.91	Name
kicks	3.91	Verb
panties	3.91	Noun
scandal	3.91	Noun
slaves	3.91	Noun
abandon	3.909	Verb
allergic	3.909	Adjective
belle	3.909	Name
capacity	3.909	Noun
improve	3.909	Verb
mccoy	3.909	Name
missy	3.909	Noun
pony	3.909	Noun
ski	3.909	Noun
sleeps	3.909	Verb
weaver	3.909	Name
artists	3.908	Noun
hawkeye	3.908	Name
momma	3.908	Noun
needing	3.908	Verb
reaching	3.908	Verb
hose	3.907	Noun
missiles	3.907	Noun
mole	3.907	Noun
saunders	3.907	Name
versus	3.907	Preposition
breeze	3.906	Noun
rash	3.906	Noun
stream	3.906	Noun
tray	3.906	Noun
violet	3.906	Name
ankle	3.905	Noun
candle	3.905	Noun
couples	3.905	Noun
defence	3.905	Noun
devoted	3.905	Adjective
disgrace	3.905	Noun
milo	3.905	Name
pale	3.905	Adjective
recover	3.905	Verb
satan	3.905	Name
surgical	3.905	Adjective
worship	3.905	Verb
bubble	3.904	Noun
circles	3.904	Noun
dreadful	3.904	Adjective
manual	3.904	Noun
pod	3.904	Noun
tuna	3.904	Noun
deb	3.902	Name
eternity	3.902	Noun
floors	3.902	Noun
grandson	3.902	Noun
mae	3.902	Name
password	3.902	Noun
rainbow	3.902	Noun
symptoms	3.902	Noun
chapel	3.901	Noun
dip	3.901	Verb
existed	3.901	Verb
scaring	3.901	Verb
searched	3.901	Verb
tricky	3.901	Adjective
tuck	3.901	Verb
watches	3.901	Verb
author	3.9	Noun
martini	3.9	Noun
monkeys	3.9	Noun
sickness	3.9	Noun
decides	3.899	Verb
meals	3.899	Noun
popped	3.899	Verb
proves	3.899	Verb
pulls	3.899	Verb
skill	3.899	Noun
smelled	3.899	Verb
sneaking	3.899	Verb
whitey	3.899	Name
contacts	3.898	Noun
focused	3.898	Verb
kathy	3.898	Name
uniforms	3.898	Noun
whisper	3.898	Verb
climbing	3.897	Verb
duties	3.897	Noun
hustle	3.897	Verb
largest	3.897	Adjective
method	3.897	Noun
welfare	3.897	Noun
abbott	3.896	Name
auntie	3.896	Noun
ditch	3.896	Verb
formula	3.896	Noun
images	3.896	Noun
lounge	3.896	Noun
mere	3.896	Adjective
minus	3.896	Preposition
wiped	3.896	Verb
accurate	3.895	Adjective
arrow	3.895	Noun
assist	3.895	Verb
attic	3.895	Noun
backs	3.895	Noun
cynthia	3.895	Name
forehead	3.895	Noun
sal	3.895	Name
sis	3.895	Noun
votes	3.895	Noun
groom	3.894	Noun
saddle	3.894	Noun
bracelet	3.893	Noun
controls	3.893	Verb
disguise	3.893	Noun
kisses	3.893	Noun
shiny	3.893	Adjective
cue	3.892	Noun
embassy	3.892	Noun
gossip	3.892	Noun
grounded	3.892	Verb
rack	3.892	Noun
relative	3.892	Noun
sausage	3.892	Noun
soil	3.892	Noun
creating	3.891	Verb
dodge	3.891	Name
husbands	3.891	Noun
joel	3.891	Name
maximum	3.891	Adjective
vital	3.891	Adjective
addition	3.89	Preposition
aspirin	3.89	Noun
bore	3.89	Verb
liquid	3.89	Adjective
theirs	3.89	Pronoun
adore	3.888	Verb
arriving	3.888	Verb
bailey	3.888	Name
persons	3.888	Noun
pierre	3.888	Name
poisoned	3.888	Verb
rot	3.888	Verb
expenses	3.887	Noun
moore	3.887	Name
rider	3.887	Noun
risky	3.887	Adjective
shaft	3.887	Noun
deaths	3.886	Noun
ahem	3.885	Interjection
auto	3.885	Noun
cans	3.885	Noun
cuba	3.885	Name
drowned	3.885	Verb
insanity	3.885	Noun
perry	3.885	Name
sunny	3.885	Adjective
switched	3.885	Verb
groans	3.884	Verb
inspired	3.884	Verb
instinct	3.884	Noun
magician	3.884	Noun
mona	3.884	Name
passage	3.884	Noun
sub	3.884	Noun
terminal	3.884	Noun
content	3.883	Noun
pickup	3.883	Noun
pilots	3.883	Noun
unto	3.883	Preposition
zip	3.883	Verb
belief	3.882	Noun
exhibit	3.882	Noun
hush	3.882	Interjection
legally	3.882	Adverb
recipe	3.882	Noun
spite	3.882	Preposition
spoon	3.882	Noun
chains	3.881	Noun
december	3.881	Name
pointed	3.881	Verb
stove	3.881	Noun
declare	3.88	Verb
embrace	3.88	Verb
karate	3.88	Noun
lizzie	3.88	Name
masters	3.88	Noun
nations	3.88	Noun
seed	3.88	Noun
wired	3.88	Verb
bass	3.878	Noun
bold	3.878	Adjective
genetic	3.878	Adjective
muscles	3.878	Noun
peanuts	3.878	Noun
peculiar	3.878	Adjective
prep	3.878	Noun
react	3.878	Verb
robinson	3.878	Name
rogers	3.878	Name
trophy	3.878	Noun
knights	3.877	Noun
offended	3.877	Verb
savings	3.877	Noun
throws	3.877	Verb
winds	3.877	Noun
hunch	3.876	Noun
jenna	3.876	Name
offers	3.876	Noun
backed	3.875	Verb
bombing	3.875	Noun
chili	3.875	Noun
easter	3.875	Noun
ego	3.875	Noun
flames	3.875	Noun
grams	3.875	Noun
included	3.875	Verb
ink	3.875	Noun
jolly	3.875	Adverb
nearest	3.875	Adjective
nicer	3.875	Adjective
protocol	3.875	Noun
rum	3.875	Noun
skies	3.875	Noun
ton	3.875	Noun
umbrella	3.875	Noun
carriage	3.874	Noun
dammit	3.874	Interjection
executed	3.874	Verb
float	3.874	Verb
juan	3.874	Name
mobile	3.874	Adjective
sings	3.874	Verb
stitch	3.874	Verb
tortured	3.874	Verb
chess	3.873	Noun
expense	3.873	Noun
favors	3.873	Noun
potion	3.873	Noun
aisle	3.872	Noun
bathing	3.872	Adjective
benefits	3.872	Noun
billie	3.872	Name
concrete	3.872	Adjective
consent	3.872	Noun
dealt	3.872	Verb
gesture	3.872	Noun
guessed	3.872	Verb
haunted	3.872	Verb
occur	3.872	Verb
racket	3.872	Noun
ranger	3.872	Noun
receipt	3.872	Noun
shepherd	3.872	Noun
alison	3.87	Name
anchor	3.87	Noun
income	3.87	Noun
injuries	3.87	Noun
julian	3.87	Name
pipes	3.87	Noun
ruining	3.87	Verb
scotland	3.87	Name
colored	3.869	Adjective
cousins	3.869	Noun
cursed	3.869	Verb
heel	3.869	Noun
logical	3.869	Adjective
weekends	3.869	Noun
guidance	3.868	Noun
heights	3.868	Noun
monk	3.868	Noun
prices	3.868	Noun
sucking	3.868	Verb
wang	3.868	Name
wealthy	3.868	Adjective
bothers	3.867	Verb
brutal	3.867	Adjective
efforts	3.867	Noun
fist	3.867	Noun
freshman	3.867	Noun
hamilton	3.867	Name
olive	3.867	Adjective
pirate	3.867	Noun
regard	3.867	Noun
sharks	3.867	Noun
tide	3.867	Noun
tops	3.867	Noun
victoria	3.867	Name
achieve	3.866	Verb
boobs	3.866	Noun
ideal	3.866	Adjective
lobster	3.866	Noun
owed	3.866	Verb
precinct	3.866	Noun
puzzle	3.866	Noun
refer	3.866	Verb
resident	3.866	Noun
spinning	3.866	Verb
agenda	3.865	Noun
balcony	3.865	Noun
casual	3.865	Adjective
melt	3.865	Verb
misses	3.865	Verb
alfred	3.864	Name
armor	3.864	Noun
bizarre	3.864	Adjective
canceled	3.864	Verb
claimed	3.864	Verb
clears	3.864	Verb
panel	3.864	Noun
sissy	3.864	Noun
spencer	3.864	Name
begged	3.862	Verb
distress	3.862	Noun
donny	3.862	Name
draft	3.862	Noun
follows	3.862	Verb
illness	3.862	Noun
jammed	3.862	Verb
joyce	3.862	Name
samson	3.862	Name
sandra	3.862	Name
shitty	3.862	Adjective
boxing	3.861	Noun
elected	3.861	Verb
factor	3.861	Noun
jewels	3.861	Noun
organ	3.861	Noun
salute	3.861	Verb
scheme	3.861	Noun
springs	3.861	Noun
sylvia	3.861	Name
tick	3.861	Noun
whipped	3.861	Verb
abortion	3.86	Noun
backyard	3.86	Noun
dorm	3.86	Noun
jewel	3.86	Noun
liable	3.86	Adjective
ordering	3.86	Verb
bent	3.859	Verb
bully	3.859	Noun
drowning	3.859	Verb
harriet	3.859	Name
honesty	3.859	Noun
mutual	3.859	Adjective
platoon	3.859	Noun
rally	3.859	Noun
annual	3.858	Adjective
drums	3.858	Noun
inviting	3.858	Verb
limits	3.858	Noun
nailed	3.858	Verb
notify	3.858	Verb
posted	3.858	Verb
trips	3.858	Noun
wooden	3.858	Adjective
bounty	3.857	Noun
chad	3.857	Name
glen	3.857	Name
moe	3.857	Name
quicker	3.857	Adverb
rely	3.857	Verb
reserve	3.857	Noun
rides	3.857	Verb
tucker	3.857	Name
ants	3.855	Noun
cheek	3.855	Noun
craig	3.855	Name
douglas	3.855	Name
folk	3.855	Noun
gracious	3.855	Adjective
noises	3.855	Noun
savage	3.855	Adjective
amongst	3.854	Preposition
disorder	3.854	Noun
fuss	3.854	Noun
jaw	3.854	Noun
moses	3.854	Name
calendar	3.853	Noun
carnival	3.853	Noun
jelly	3.853	Noun
lester	3.853	Name
mack	3.853	Name
sells	3.853	Verb
weigh	3.853	Verb
chi	3.852	Name
dearest	3.852	Adjective
fatal	3.852	Adjective
fighters	3.852	Noun
harsh	3.852	Adjective
medium	3.852	Noun
northern	3.852	Adjective
ariel	3.851	Name
bam	3.851	Verb
compound	3.851	Noun
haul	3.851	Verb
jin	3.851	Name
meters	3.851	Noun
ridge	3.851	Noun
strain	3.851	Noun
aha	3.849	Interjection
apollo	3.849	Name
buys	3.849	Verb
cooler	3.849	Noun
erin	3.849	Name
european	3.849	Adjective
expose	3.849	Verb
gag	3.849	Noun
herd	3.849	Noun
lifted	3.849	Verb
memorial	3.849	Noun
sector	3.849	Noun
soviet	3.849	Adjective
caring	3.848	Verb
elder	3.848	Noun
feds	3.848	Noun
nowadays	3.848	Adverb
pursuit	3.848	Noun
tales	3.848	Noun
cord	3.847	Noun
guardian	3.847	Noun
length	3.847	Noun
mule	3.847	Noun
narrow	3.847	Adjective
paulie	3.847	Name
smashed	3.847	Verb
sting	3.847	Noun
strict	3.847	Adjective
closes	3.846	Verb
fax	3.846	Noun
lonesome	3.846	Adjective
plead	3.846	Verb
resting	3.846	Verb
smoked	3.846	Verb
cries	3.845	Verb
grunts	3.845	Noun
lands	3.845	Noun
relaxed	3.845	Adjective
shoots	3.845	Verb
simpson	3.845	Name
tobacco	3.845	Noun
intimate	3.843	Adjective
nun	3.843	Noun
shelf	3.843	Noun
stepping	3.843	Verb
subjects	3.843	Noun
wires	3.843	Noun
baldrick	3.842	Name
blaming	3.842	Verb
grease	3.842	Noun
hobby	3.842	Noun
semester	3.842	Noun
stud	3.842	Noun
subtle	3.842	Adjective
tis	3.842	Noun
tolerate	3.842	Verb
vanessa	3.842	Name
volume	3.842	Noun
voted	3.842	Verb
cleaner	3.841	Noun
eleanor	3.841	Name
eugene	3.841	Name
geek	3.841	Noun
knives	3.841	Noun
toby	3.841	Name
crab	3.84	Noun
elements	3.84	Noun
fountain	3.84	Noun
kang	3.84	Name
myth	3.84	Noun
nevada	3.84	Name
opposed	3.84	Verb
pervert	3.84	Noun
resort	3.84	Noun
servants	3.84	Noun
speaker	3.84	Noun
yah	3.84	Interjection
bolt	3.838	Noun
domestic	3.838	Adjective
gravity	3.838	Noun
label	3.838	Noun
pledge	3.838	Noun
razor	3.838	Noun
teenager	3.838	Noun
yea	3.838	Interjection
chow	3.837	Noun
clamp	3.837	Verb
cunt	3.837	Noun
dispatch	3.837	Verb
eager	3.837	Adjective
echo	3.837	Noun
eighth	3.837	Number
faggot	3.837	Noun
messy	3.837	Adjective
nazi	3.837	Adjective
slick	3.837	Noun
sorrow	3.837	Noun
teenage	3.837	Adjective
visited	3.837	Verb
bean	3.836	Noun
mug	3.836	Noun
otto	3.836	Name
plea	3.836	Noun
rio	3.836	Name
shorty	3.836	Noun
shovel	3.836	Noun
avoiding	3.835	Verb
hardware	3.835	Noun
kerry	3.835	Name
races	3.835	Noun
swan	3.835	Name
han	3.833	Name
jackass	3.833	Noun
nicholas	3.833	Name
pose	3.833	Verb
sensible	3.833	Adjective
blocked	3.832	Verb
experts	3.832	Noun
nickname	3.832	Noun
touches	3.832	Verb
troubled	3.832	Adjective
yay	3.832	Unclassified
affected	3.831	Verb
african	3.831	Adjective
anxiety	3.831	Noun
bart	3.831	Name
dudes	3.831	Noun
loop	3.831	Noun
wakes	3.831	Verb
horace	3.83	Name
lottery	3.83	Noun
med	3.83	Adjective
monroe	3.83	Name
painter	3.83	Noun
psych	3.83	Noun
samuel	3.83	Name
theft	3.83	Noun
trey	3.83	Name
driveway	3.828	Noun
items	3.828	Noun
proposed	3.828	Verb
traveled	3.828	Verb
woo	3.828	Verb
feast	3.827	Noun
hardest	3.827	Adjective
hearst	3.827	Name
logic	3.827	Noun
online	3.827	Adverb
peyton	3.827	Name
pirates	3.827	Noun
preacher	3.827	Noun
rabbi	3.827	Noun
rarely	3.827	Adverb
sponge	3.827	Noun
strongly	3.827	Adverb
baked	3.826	Adjective
covenant	3.826	Noun
holland	3.826	Name
january	3.826	Name
locks	3.826	Noun
lodge	3.826	Noun
miriam	3.826	Name
pedro	3.826	Name
scissors	3.826	Noun
bonds	3.825	Noun
cigars	3.825	Noun
circuit	3.825	Noun
drivers	3.825	Noun
finals	3.825	Noun
homer	3.825	Name
leap	3.825	Noun
respects	3.825	Noun
targets	3.825	Noun
baxter	3.823	Name
brakes	3.823	Noun
dee	3.823	Unclassified
dreamt	3.823	Verb
galaxy	3.823	Noun
ming	3.823	Name
proven	3.823	Verb
threats	3.823	Noun
urge	3.823	Noun
wishing	3.823	Verb
disagree	3.822	Verb
disk	3.822	Noun
dot	3.822	Noun
element	3.822	Noun
endless	3.822	Adjective
feather	3.822	Noun
gail	3.822	Name
greedy	3.822	Adjective
gypsy	3.822	Noun
andre	3.821	Name
bicycle	3.821	Noun
funds	3.821	Noun
jeans	3.821	Noun
mattress	3.821	Noun
melody	3.821	Noun
memo	3.821	Noun
polly	3.821	Name
rejected	3.821	Verb
tubes	3.821	Noun
virgil	3.821	Name
withdraw	3.821	Verb
catches	3.819	Verb
copper	3.819	Noun
dexter	3.819	Name
notion	3.819	Noun
offices	3.819	Noun
warriors	3.819	Noun
coal	3.818	Noun
dragging	3.818	Verb
mice	3.818	Noun
amateur	3.817	Adjective
atlanta	3.817	Name
gown	3.817	Noun
internet	3.817	Noun
marching	3.817	Verb
miracles	3.817	Noun
needn	3.817	Verb
ninth	3.817	Number
pier	3.817	Noun
salmon	3.817	Noun
sawyer	3.817	Name
siren	3.817	Noun
skinner	3.817	Name
umm	3.817	Interjection
carries	3.816	Verb
charts	3.816	Noun
declared	3.816	Verb
fourteen	3.816	Number
gasoline	3.816	Noun
hike	3.816	Noun
beep	3.814	Noun
doubts	3.814	Noun
maris	3.814	Unclassified
risks	3.814	Noun
urine	3.814	Noun
vain	3.814	Adverb
venice	3.814	Name
airline	3.813	Noun
approved	3.813	Verb
clearing	3.813	Verb
forgiven	3.813	Verb
kidnap	3.813	Verb
morphine	3.813	Noun
rehab	3.813	Noun
riot	3.813	Noun
robbing	3.813	Verb
senate	3.813	Noun
sloan	3.813	Name
stark	3.813	Name
stewart	3.813	Name
vows	3.813	Noun
choke	3.812	Verb
involve	3.812	Verb
lined	3.812	Verb
methods	3.812	Noun
wardrobe	3.812	Noun
beeping	3.81	Verb
growth	3.81	Noun
mansion	3.81	Noun
mustard	3.81	Noun
naive	3.81	Adjective
phoned	3.81	Verb
tiffany	3.81	Name
butch	3.809	Name
fart	3.809	Noun
happiest	3.809	Adjective
rabbits	3.809	Noun
ram	3.809	Noun
stew	3.809	Noun
click	3.808	Verb
creeps	3.808	Noun
drift	3.808	Noun
extend	3.808	Verb
ginger	3.808	Adjective
pursue	3.808	Verb
quest	3.808	Noun
stern	3.808	Noun
tearing	3.808	Verb
angelus	3.806	Name
bullock	3.806	Name
canal	3.806	Noun
carrier	3.806	Noun
cups	3.806	Noun
customs	3.806	Noun
hangs	3.806	Verb
healing	3.806	Noun
luckily	3.806	Adverb
persuade	3.806	Verb
tech	3.806	Noun
torpedo	3.806	Noun
hay	3.805	Noun
hereby	3.805	Adverb
initial	3.805	Adjective
purchase	3.805	Noun
roots	3.805	Noun
tribe	3.805	Noun
backing	3.804	Verb
bein	3.804	Noun
cereal	3.804	Noun
chap	3.804	Noun
convict	3.804	Verb
frighten	3.804	Verb
intact	3.804	Adjective
peach	3.804	Noun
rodney	3.804	Name
shares	3.804	Noun
spilled	3.804	Verb
surf	3.804	Noun
wealth	3.804	Noun
bake	3.802	Verb
breed	3.802	Noun
counted	3.802	Verb
lighting	3.802	Noun
lions	3.802	Noun
nursing	3.802	Noun
pond	3.802	Noun
winners	3.802	Noun
absence	3.801	Noun
colorado	3.801	Name
hairy	3.801	Adjective
shipment	3.801	Noun
shipping	3.801	Noun
stripes	3.801	Noun
tasty	3.801	Adjective
webster	3.801	Name
crashing	3.8	Verb
curtains	3.8	Noun
deceased	3.8	Adjective
diving	3.8	Verb
global	3.8	Adjective
prophecy	3.8	Noun
ramon	3.8	Name
swiss	3.8	Adjective
worms	3.8	Noun
bronx	3.798	Name
bunk	3.798	Noun
charging	3.798	Verb
chester	3.798	Name
clues	3.798	Noun
elegant	3.798	Adjective
faced	3.798	Verb
lease	3.798	Noun
liking	3.798	Verb
spark	3.798	Noun
syndrome	3.798	Noun
velvet	3.798	Noun
whew	3.798	Verb
antonio	3.797	Name
bourbon	3.797	Noun
brace	3.797	Verb
ignorant	3.797	Adjective
puke	3.797	Verb
scenario	3.797	Noun
serves	3.797	Verb
timer	3.797	Noun
baggage	3.796	Noun
coverage	3.796	Noun
define	3.796	Verb
figuring	3.796	Verb
overtime	3.796	Noun
retarded	3.796	Adjective
screech	3.796	Noun
scrub	3.796	Verb
sperm	3.796	Noun
straw	3.796	Noun
willow	3.796	Noun
ashore	3.794	Adverb
bluff	3.794	Noun
brat	3.794	Noun
breach	3.794	Noun
cavalry	3.794	Noun
clowns	3.794	Noun
erase	3.794	Verb
explore	3.794	Verb
meter	3.794	Noun
napoleon	3.794	Name
treats	3.794	Verb
assured	3.793	Verb
bedtime	3.793	Noun
carolina	3.793	Name
crib	3.793	Noun
custom	3.793	Noun
horns	3.793	Noun
hugh	3.793	Name
mines	3.793	Noun
overcome	3.793	Verb
pine	3.793	Noun
smiles	3.793	Noun
stain	3.793	Noun
camping	3.792	Noun
dental	3.792	Adjective
drunken	3.792	Adjective
est	3.792	Adjective
hottest	3.792	Adjective
incoming	3.792	Adjective
lasted	3.792	Verb
shocking	3.792	Adjective
applied	3.79	Verb
countess	3.79	Noun
definite	3.79	Adjective
engage	3.79	Verb
fare	3.79	Noun
pudding	3.79	Noun
starve	3.79	Verb
booty	3.789	Noun
carson	3.789	Name
earrings	3.789	Noun
elbow	3.789	Noun
essay	3.789	Noun
platform	3.789	Noun
scam	3.789	Noun
swinging	3.789	Verb
yelled	3.789	Verb
den	3.787	Noun
habits	3.787	Noun
heavily	3.787	Adverb
ironic	3.787	Adjective
pinch	3.787	Noun
products	3.787	Noun
stadium	3.787	Noun
yen	3.787	Noun
bathtub	3.786	Noun
charmed	3.786	Adjective
cloth	3.786	Noun
debts	3.786	Noun
lawsuit	3.786	Noun
madeline	3.786	Name
stack	3.786	Noun
vast	3.786	Adjective
zeus	3.786	Name
bumped	3.785	Verb
chorus	3.785	Noun
contain	3.785	Verb
creation	3.785	Noun
eighteen	3.785	Number
fiction	3.785	Noun
isolated	3.785	Verb
ketchup	3.785	Noun
pounding	3.785	Noun
antique	3.783	Adjective
bats	3.783	Noun
comb	3.783	Verb
hips	3.783	Noun
noodles	3.783	Noun
sunrise	3.783	Noun
yankees	3.783	Noun
articles	3.782	Noun
bribe	3.782	Verb
cured	3.782	Verb
dash	3.782	Noun
directed	3.782	Verb
gibson	3.782	Name
musician	3.782	Noun
ahold	3.78	Noun
ding	3.78	Unclassified
herman	3.78	Name
luxury	3.78	Noun
rushing	3.78	Verb
waits	3.78	Verb
dickie	3.779	Name
dolly	3.779	Name
elk	3.779	Verb
exotic	3.779	Adjective
furious	3.779	Adjective
garlic	3.779	Noun
insulted	3.779	Verb
niggers	3.779	Noun
printed	3.779	Verb
vehicles	3.779	Noun
voyage	3.779	Noun
brake	3.778	Noun
bubbles	3.778	Noun
juliet	3.778	Name
poster	3.778	Noun
sincere	3.778	Adjective
steer	3.778	Verb
trading	3.778	Noun
buchanan	3.776	Name
costumes	3.776	Noun
drake	3.776	Noun
graves	3.776	Noun
sark	3.776	Name
scent	3.776	Noun
shade	3.776	Noun
stereo	3.776	Noun
behold	3.775	Verb
boil	3.775	Verb
cracking	3.775	Verb
heller	3.775	Name
montana	3.775	Name
parlor	3.775	Noun
peak	3.775	Noun
ropes	3.775	Noun
shook	3.775	Verb
slipping	3.775	Verb
writers	3.775	Noun
assassin	3.773	Noun
banner	3.773	Noun
colony	3.773	Noun
dances	3.773	Noun
pouring	3.773	Verb
slack	3.773	Noun
stamp	3.773	Noun
wit	3.773	Noun
wolves	3.773	Noun
fayed	3.772	Adjective
holler	3.772	Verb
ignored	3.772	Verb
lighten	3.772	Verb
mortgage	3.772	Noun
nude	3.772	Adjective
organs	3.772	Noun
pigeon	3.772	Noun
plaza	3.772	Noun
randall	3.772	Name
regrets	3.772	Noun
reliable	3.772	Adjective
rib	3.772	Noun
shallow	3.772	Adjective
skate	3.772	Verb
stir	3.772	Verb
tomato	3.772	Noun
vivian	3.772	Name
coats	3.77	Noun
courts	3.77	Noun
cycle	3.77	Noun
glue	3.77	Noun
hunger	3.77	Noun
mayday	3.77	Noun
modest	3.77	Adjective
newport	3.77	Name
pals	3.77	Noun
shorter	3.77	Adjective
sloppy	3.77	Adjective
archie	3.769	Name
deadline	3.769	Noun
despair	3.769	Noun
sofa	3.769	Noun
tequila	3.769	Noun
wander	3.769	Verb
beau	3.768	Unclassified
divide	3.768	Verb
fastest	3.768	Adjective
feature	3.768	Noun
michigan	3.768	Name
pentagon	3.768	Name
poke	3.768	Verb
revealed	3.768	Verb
shaving	3.768	Verb
spends	3.768	Verb
fuzzy	3.766	Adjective
muffin	3.766	Noun
niggas	3.766	Noun
pajamas	3.766	Noun
pressed	3.766	Verb
sour	3.766	Adjective
whales	3.766	Noun
whores	3.766	Noun
wonders	3.766	Noun
bon	3.765	Interjection
chambers	3.765	Noun
economy	3.765	Noun
martial	3.765	Adjective
queer	3.765	Adjective
slam	3.765	Verb
troop	3.765	Noun
vet	3.765	Noun
argh	3.763	Verb
busting	3.763	Verb
gilbert	3.763	Name
obliged	3.763	Verb
senor	3.763	Noun
spells	3.763	Noun
streak	3.763	Noun
sweetest	3.763	Adjective
tow	3.763	Noun
alma	3.762	Name
cheque	3.762	Noun
classy	3.762	Adjective
cracker	3.762	Noun
curly	3.762	Name
disco	3.762	Noun
tab	3.762	Noun
trusting	3.762	Verb
tsk	3.762	Name
vacuum	3.762	Noun
variety	3.762	Noun
blocking	3.76	Verb
dam	3.76	Noun
facial	3.76	Adjective
glow	3.76	Noun
hooray	3.76	Interjection
jealousy	3.76	Noun
occupied	3.76	Verb
orphan	3.76	Noun
resent	3.76	Verb
roller	3.76	Noun
scored	3.76	Verb
spine	3.76	Noun
suing	3.76	Verb
tasted	3.76	Verb
wheat	3.76	Noun
beware	3.759	Verb
butts	3.759	Noun
cadillac	3.759	Noun
hayes	3.759	Name
janitor	3.759	Noun
naval	3.759	Adjective
owners	3.759	Noun
sticky	3.759	Adjective
brett	3.757	Name
brewster	3.757	Name
cakes	3.757	Noun
cuff	3.757	Noun
deline	3.757	Name
era	3.757	Noun
exposure	3.757	Noun
feathers	3.757	Noun
flood	3.757	Noun
gabriel	3.757	Name
handful	3.757	Noun
hugo	3.757	Name
medic	3.757	Noun
nicest	3.757	Adjective
towns	3.757	Noun
accuse	3.756	Verb
attaboy	3.756	Noun
attract	3.756	Verb
clip	3.756	Noun
crooked	3.756	Adjective
database	3.756	Noun
mentally	3.756	Adverb
pets	3.756	Noun
resume	3.756	Verb
